TABLE:  Element Forces - Columns,,,,,,,,,,,,,,
Story,Column,Unique Name,Output Case,Case Type,Station,P,V2,V3,T,M2,M3,Element,Elem Station,Location
,,,,,m,kN,kN,kN,kN-m,kN-m,kN-m,,m,
Roof,C130,308,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.0082,0.013,0.0234,-0.0024,0.0377,-0.0071,308,0,
Roof,C130,308,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.0082,0.013,0.0234,-0.0024,0.00001938,-0.0281,308,1.6125,
Roof,C130,308,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.0082,0.013,0.0234,-0.0024,-0.0377,-0.049,308,3.225,
Roof,C131,309,Gk,LinStatic,0,-183.0509,27.3121,-42.6255,-0.2312,-53.2377,18.2568,309,0,
Roof,C131,309,Gk,LinStatic,1.6125,-173.2953,27.3121,-42.6255,-0.2312,15.4959,-25.784,309,1.6125,
Roof,C131,309,Gk,LinStatic,3.225,-163.5397,27.3121,-42.6255,-0.2312,84.2294,-69.8249,309,3.225,
Roof,C131,309,Qk,LinStatic,0,-10.0461,3.4784,-3.7245,-0.0447,-5.4475,1.7485,309,0,
Roof,C131,309,Qk,LinStatic,1.6125,-10.0461,3.4784,-3.7245,-0.0447,0.5583,-3.8604,309,1.6125,
Roof,C131,309,Qk,LinStatic,3.225,-10.0461,3.4784,-3.7245,-0.0447,6.5641,-9.4693,309,3.225,
Roof,C131,309,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-10.268,3.2974,-3.7819,-0.0405,-5.5211,1.3525,309,0,
Roof,C131,309,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-10.268,3.2974,-3.7819,-0.0405,0.5772,-3.9646,309,1.6125,
Roof,C131,309,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-10.268,3.2974,-3.7819,-0.0405,6.6755,-9.2817,309,3.225,
Roof,C131,309,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.2219,0.181,0.0574,-0.0042,0.0736,0.396,309,0,
Roof,C131,309,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.2219,0.181,0.0574,-0.0042,-0.0189,0.1042,309,1.6125,
Roof,C131,309,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.2219,0.181,0.0574,-0.0042,-0.1114,-0.1876,309,3.225,
Roof,C132,310,Gk,LinStatic,0,-71.1067,35.2486,16.8562,-0.2312,12.0966,-0.7104,310,0,
Roof,C132,310,Gk,LinStatic,1.6125,-61.3511,35.2486,16.8562,-0.2312,-15.084,-57.5487,310,1.6125,
Roof,C132,310,Gk,LinStatic,3.225,-51.5955,35.2486,16.8562,-0.2312,-42.2645,-114.387,310,3.225,
Roof,C132,310,Qk,LinStatic,0,-3.5546,3.3953,2.5508,-0.0447,3.675,-1.7752,310,0,
Roof,C132,310,Qk,LinStatic,1.6125,-3.5546,3.3953,2.5508,-0.0447,-0.4382,-7.2502,310,1.6125,
Roof,C132,310,Qk,LinStatic,3.225,-3.5546,3.3953,2.5508,-0.0447,-4.5515,-12.7251,310,3.225,
Roof,C132,310,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-3.5254,3.5735,2.5131,-0.0405,3.6124,-1.5222,310,0,
Roof,C132,310,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-3.5254,3.5735,2.5131,-0.0405,-0.44,-7.2844,310,1.6125,
Roof,C132,310,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-3.5254,3.5735,2.5131,-0.0405,-4.4924,-13.0467,310,3.225,
Roof,C132,310,"Qk_Cat.E,Partition,NR Live",LinStatic,0,-0.0292,-0.1782,0.0377,-0.0042,0.0627,-0.253,310,0,
Roof,C132,310,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,-0.0292,-0.1782,0.0377,-0.0042,0.0018,0.0343,310,1.6125,
Roof,C132,310,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,-0.0292,-0.1782,0.0377,-0.0042,-0.059,0.3216,310,3.225,
Roof,C133,311,Gk,LinStatic,0,-186.2644,-22.8572,-43.2329,0.1985,-54.2238,-11.3234,311,0,
Roof,C133,311,Gk,LinStatic,1.6125,-176.5088,-22.8572,-43.2329,0.1985,15.4893,25.5339,311,1.6125,
Roof,C133,311,Gk,LinStatic,3.225,-166.7532,-22.8572,-43.2329,0.1985,85.2023,62.3912,311,3.225,
Roof,C133,311,Qk,LinStatic,0,-10.9063,-3.0507,-3.9695,0.0245,-5.8272,-0.729,311,0,
Roof,C133,311,Qk,LinStatic,1.6125,-10.9063,-3.0507,-3.9695,0.0245,0.5736,4.1902,311,1.6125,
